 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1     123        1         -17688.          5317.         12304.            67.    -215623328.
    2     124        1         -17760.          5233.         12394.           133.      -5438288.
    3     125        1         -17831.          5149.         12483.           199.      -8033855.
    4     126        1         -17901.          5066.         12570.           265.     -10545666.
    5     127        1         -17969.          4984.         12655.           330.     -12970974.
    6     128        1         -18036.          4903.         12738.           396.     -15308955.
    7     129        1         -18102.          4822.         12820.           460.     -17557208.
    8     130        1         -18167.          4743.         12900.           525.     -19715526.
    9     131        1         -18230.          4664.         12978.           589.     -21782052.
   10     132        1         -18292.          4586.         13054.           652.     -23753286.
   11     133        1         -18353.          4510.         13129.           715.     -25630950.
   12     134        1         -18412.          4434.         13201.           777.     -27410712.
   13     135        1         -18470.          4359.         13272.           839.     -29093400.
   14     136        1         -18526.          4286.         13341.           900.     -30678738.
   15     137        1         -18581.          4213.         13408.           960.     -32160544.
   16     138        1         -18635.          4142.         13473.          1020.     -33542260.
   17     139        1         -18687.          4071.         13536.          1079.     -34821680.
   18     140        1         -18737.          4002.         13597.          1138.     -35995100.
   19     141        1         -18786.          3934.         13656.          1195.     -37067396.
   20     142        1         -18834.          3868.         13714.          1252.     -38031084.
   21     143        1         -18879.          3802.         13769.          1308.     -38888832.
   22     144        1         -18924.          3738.         13822.          1364.     -39638116.
   23     145        1         -18967.          3675.         13874.          1418.     -40280848.
   24     146        1         -19008.          3613.         13923.          1472.     -40806320.
   25     147        1         -19047.          3553.         13970.          1524.     -41233068.
   26     148        1         -19085.          3494.         14015.          1576.     -41540080.
   27     149        1         -19122.          3437.         14059.          1627.     -41730868.
   28     150        1         -19157.          3381.         14100.          1676.     -41819368.
   29     151        1         -19190.          3326.         14139.          1725.     -41791836.
   30     152        1         -19221.          3273.         14176.          1773.     -41647048.
   31     153        1         -19251.          3221.         14211.          1819.     -41392280.
   32     154        1         -19280.          3171.         14244.          1865.     -41013932.
   33     155        1         -19306.          3122.         14275.          1909.     -40526228.
   34     156        1         -19331.          3074.         14304.          1953.     -39924268.
   35     157        1         -19354.          3029.         14330.          1995.     -39205060.
   36     158        1         -19376.          2985.         14355.          2036.     -38362824.
   37     159        1         -19395.          2942.         14377.          2076.     -37411568.
   38     160        1         -19414.          2901.         14398.          2115.     -36338244.
   39     161        1         -19430.          2861.         14416.          2153.     -35155216.
   40     162        1         -19445.          2824.         14432.          2189.     -33846000.
   41     163        1         -19458.          2787.         14446.          2224.     -32423436.
   42     164        1         -19469.          2753.         14458.          2258.     -30878672.
   43     165        1         -19478.          2720.         14468.          2291.     -29219738.
   44     166        1         -19486.          2689.         14475.          2322.     -27449448.
   45     167        1         -19492.          2659.         14481.          2352.     -25549266.
   46     168        1         -19497.          2631.         14484.          2381.     -23543224.
   47     169        1         -19499.          2605.         14485.          2408.     -21409140.
   48     170        1         -19500.          2581.         14485.          2435.     -19165762.
   49     171        1         -19499.          2558.         14482.          2460.     -16809928.
   50     172        1         -19497.          2537.         14476.          2483.     -14321047.
   51     173        1         -19492.          2518.         14469.          2505.     -11739894.
   52     174        1         -19486.          2500.         14460.          2526.      -9017728.
   53     175        1         -19478.          2484.         14448.          2546.      -6203842.
   54     176        1         -19469.          2470.         14435.          2564.      -3258690.
   55     177        1         -19458.          2458.         14419.          2580.            -0.
   56     178        1         -19445.          2447.         14401.          2596.       2745027.
   57     179        1         -19430.          2439.         14381.          2610.       6229861.
   58     180        1         -19414.          2432.         14359.          2622.       9624209.
   59     181        1         -19395.          2426.         14335.          2634.      13127786.
   60     182        1         -19376.          2423.         14309.          2644.      16736265.
   61     183        1         -19354.          2421.         14281.          2652.      20461800.
   62     184        1         -19331.          2421.         14251.          2659.      24283306.
   63     185        1         -19306.          2423.         14219.          2665.      28217268.
