 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1   106.20    0.00    0.22   -1.93   -1.89   -1.76   13.71
    2       2        1   112.40    0.00    0.23   -2.00   -1.97   -1.84   11.64
    3       3        1   118.60    0.00    0.25   -2.08   -2.04   -1.92   10.05
    4       4        1   124.80    0.00    0.26   -2.15   -2.12   -2.00    8.80
    5       5        1   131.00    0.00    0.27   -2.22   -2.19   -2.08    7.81
    6       6        1   137.20    0.00    0.28   -2.29   -2.26   -2.15    7.01
    7       7        1   143.40    0.00    0.30   -2.35   -2.32   -2.22    6.36
    8       8        1   149.60    0.00    0.31   -2.41   -2.38   -2.29    5.82
    9       9        1   155.80    0.00    0.32   -2.47   -2.44   -2.35    5.37
   10      10        1   162.00    0.00    0.33   -2.53   -2.50   -2.41    4.99
   11      11        1   168.20    0.00    0.35   -2.58   -2.55   -2.47    4.66
   12      12        1   174.40    0.00    0.36   -2.63   -2.60   -2.52    4.38
   13      13        1   180.60    0.00    0.37   -2.67   -2.65   -2.58    4.14
   14      14        1   186.80    0.00    0.39   -2.72   -2.70   -2.63    3.93
   15      15        1   193.00    0.00    0.40   -2.76   -2.74   -2.67    3.75
   16      16        1   199.20    0.00    0.41   -2.79   -2.78   -2.71    3.59
   17      17        1   205.40    0.00    0.42   -2.83   -2.81   -2.75    3.44
   18      18        1   211.60    0.00    0.44   -2.86   -2.84   -2.79    3.31
   19      19        1   217.80    0.00    0.45   -2.89   -2.87   -2.83    3.20
   20      20        1   224.00    0.00    0.46   -2.91   -2.90   -2.86    3.09
   21      21        1   230.20    0.00    0.48   -2.93   -2.92   -2.88    3.00
   22      22        1   236.40    0.00    0.49   -2.95   -2.94   -2.91    2.91
   23      23        1   242.60    0.00    0.50   -2.97   -2.96   -2.93    2.83
   24      24        1   248.80    0.00    0.51   -2.98   -2.97   -2.95    2.76
   25      25        1   255.00    0.00    0.53   -2.99   -2.99   -2.97    2.69
   26      26        1   261.20    0.00    0.54   -3.00   -2.99   -2.98    2.63
   27      27        1   267.40    0.00    0.55   -3.00   -3.00   -2.99    2.58
   28      28        1   273.60    0.00    0.57   -3.00   -3.00   -2.99    2.53
   29      29        1   279.80    0.00    0.58   -3.00   -3.00   -3.00    2.48
   30      30        1   286.00    0.00    0.59   -2.99   -2.99   -3.00    2.44
   31      31        1   292.20    0.00    0.60   -2.98   -2.99   -2.99    2.40
   32      32        1   298.40    0.00    0.62   -2.97   -2.97   -2.99    2.36
   33      33        1   304.60    0.00    0.63   -2.95   -2.96   -2.98    2.33
   34      34        1   310.80    0.00    0.64   -2.93   -2.94   -2.97    2.30
   35      35        1   317.00    0.00    0.65   -2.91   -2.92   -2.95    2.28
   36      36        1   323.20    0.00    0.67   -2.89   -2.90   -2.93    2.25
   37      37        1   329.40    0.00    0.68   -2.86   -2.87   -2.91    2.23
   38      38        1   335.60    0.00    0.69   -2.83   -2.84   -2.88    2.21
   39      39        1   341.80    0.00    0.71   -2.79   -2.81   -2.86    2.20
   40      40        1   348.00    0.00    0.72   -2.76   -2.78   -2.83    2.19
   41      41        1   354.20    0.00    0.73   -2.72   -2.74   -2.79    2.17
   42      42        1   360.40    0.00    0.74   -2.67   -2.70   -2.75    2.17
   43      43        1   366.60    0.00    0.76   -2.63   -2.65   -2.71    2.16
   44      44        1   372.80    0.00    0.77   -2.58   -2.60   -2.67    2.15
   45      45        1   379.00    0.00    0.78   -2.53   -2.55   -2.63    2.15
   46      46        1   385.20    0.00    0.80   -2.47   -2.50   -2.58    2.15
   47      47        1   391.40    0.00    0.81   -2.41   -2.44   -2.52    2.15
   48      48        1   397.60    0.00    0.82   -2.35   -2.38   -2.47    2.16
   49      49        1   403.80    0.00    0.83   -2.29   -2.32   -2.41    2.16
   50      50        1   410.00    0.00    0.85   -2.22   -2.26   -2.35    2.17
   51      51        1   416.20    0.00    0.86   -2.15   -2.19   -2.29    2.18
   52      52        1   422.40    0.00    0.87   -2.08   -2.12   -2.22    2.19
   53      53        1   428.60    0.00    0.89   -2.00   -2.04   -2.15    2.20
   54      54        1   434.80    0.00    0.90   -1.93   -1.97   -2.08    2.22
   55      55        1   441.00    0.00    0.91   -1.85   -1.89   -2.00    2.23
   56      56        1   106.20    0.00    0.22   -1.76   -1.80   -1.92    2.30
   57      57        1   112.40    0.00    0.23   -1.67   -1.72   -1.84    2.40
   58      58        1   118.60    0.00    0.25   -1.59   -1.63   -1.76    2.48
   59      59        1   124.80    0.00    0.26   -1.49   -1.54   -1.67    2.56
   60      60        1   131.00    0.00    0.27   -1.40   -1.45   -1.58    2.63
   61      61        1   137.20    0.00    0.28   -1.30   -1.35   -1.49    2.69
   62      62        1   143.40    0.00    0.30   -1.20   -1.25   -1.40    2.76
   63      63        1   149.60    0.00    0.31   -1.10   -1.15   -1.30    2.82
   64      64        1   155.80    0.00    0.32   -0.99   -1.05   -1.20    2.88
   65      65        1   162.00    0.00    0.33   -0.89   -0.94   -1.10    2.94
   66      66        1   168.20    0.00    0.35   -0.78   -0.83   -0.99    3.01
   67      67        1   174.40    0.00    0.36   -0.66   -0.72   -0.88    3.07
   68      68        1   180.60    0.00    0.37   -0.55   -0.61   -0.77    3.13
   69      69        1   186.80    0.00    0.39   -0.43   -0.49   -0.66    3.19
   70      70        1   193.00    0.00    0.40   -0.31   -0.37   -0.55    3.25
   71      71        1   199.20    0.00    0.41   -0.19   -0.25   -0.43    3.32
   72      72        1   205.40    0.00    0.42   -0.07   -0.13   -0.31    3.38
   73      73        1   211.60    0.00    0.44    0.06   -0.00   -0.19    3.45
   74      74        1   217.80    0.00    0.45    0.19    0.12   -0.06    3.52
   75      75        1   224.00    0.00    0.46    0.32    0.25    0.06    3.58
   76      76        1   230.20    0.00    0.48    0.45    0.39    0.19    3.65
   77      77        1   236.40    0.00    0.49    0.59    0.52    0.32    3.72
   78      78        1   242.60    0.00    0.50    0.72    0.66    0.45    3.80
   79      79        1   248.80    0.00    0.51    0.86    0.79    0.59    3.87
   80      80        1   255.00    0.00    0.53    1.00    0.93    0.73    3.94
   81      81        1   261.20    0.00    0.54    1.15    1.08    0.86    4.02
   82      82        1   267.40    0.00    0.55    1.29    1.22    1.01    4.09
   83      83        1   273.60    0.00    0.57    1.44    1.37    1.15    4.17
   84      84        1   279.80    0.00    0.58    1.59    1.51    1.29    4.25
   85      85        1   286.00    0.00    0.59    1.74    1.66    1.44    4.33
   86      86        1   292.20    0.00    0.60    1.89    1.81    1.59    4.41
   87      87        1   298.40    0.00    0.62    2.04    1.97    1.74    4.49
   88      88        1   304.60    0.00    0.63    2.20    2.12    1.89    4.57
   89      89        1   310.80    0.00    0.64    2.35    2.28    2.04    4.66
   90      90        1   317.00    0.00    0.65    2.51    2.43    2.20    4.74
   91      91        1   323.20    0.00    0.67    2.67    2.59    2.36    4.83
   92      92        1   329.40    0.00    0.68    2.83    2.75    2.51    4.92
   93      93        1   335.60    0.00    0.69    3.00    2.92    2.67    5.01
   94      94        1   341.80    0.00    0.71    3.16    3.08    2.84    5.10
   95      95        1   348.00    0.00    0.72    3.33    3.24    3.00    5.19
   96      96        1   354.20    0.00    0.73    3.49    3.41    3.16    5.28
   97      97        1   360.40    0.00    0.74    3.66    3.58    3.33    5.37
   98      98        1   366.60    0.00    0.76    3.83    3.74    3.49    5.46
   99      99        1   372.80    0.00    0.77    4.00    3.91    3.66    5.56
  100     100        1   379.00    0.00    0.78    4.17    4.08    3.83    5.65
  101     101        1   385.20    0.00    0.80    4.34    4.26    4.00    5.75
  102     102        1   391.40    0.00    0.81    4.51    4.43    4.17    5.85
  103     103        1   397.60    0.00    0.82    4.69    4.60    4.34    5.94
  104     104        1   403.80    0.00    0.83    4.86    4.78    4.52    6.04
  105     105        1   410.00    0.00    0.85    5.04    4.95    4.69    6.14
  106     106        1   416.20    0.00    0.86    5.21    5.13    4.86    6.24
  107     107        1   422.40    0.00    0.87    5.39    5.30    5.04    6.34
  108     108        1   428.60    0.00    0.89    5.57    5.48    5.21    6.44
  109     109        1   434.80    0.00    0.90    5.75    5.66    5.39    6.55
  110     110        1   441.00    0.00    0.91    5.92    5.84    5.57    6.65
  111     111        1   447.20    0.00    0.92    6.10    6.01    5.75    6.75
  112     112        1   453.40    0.00    0.94    6.28    6.19    5.92    6.86
  113     113        1   459.60    0.00    0.95    6.46    6.37    6.10    6.96
  114     114        1   465.80    0.00    0.96    6.64    6.55    6.28    7.07
  115     115        1   472.00    0.00    0.98    6.82    6.73    6.46    7.18
  116     116        1   478.20    0.00    0.99    7.00    6.91    6.64    7.28
  117     117        1   484.40    0.00    1.00    7.18    7.09    6.82    7.39
  118     118        1   490.60    0.00    1.01    7.36    7.27    7.00    7.50
  119     119        1   496.80    0.00    1.03    7.55    7.45    7.18    7.61
