"doy" "temp.1.5m" "rad"
1 0.133 6.63
2 0.629 8.93
3 -0.758 4.62
4 -0.133 3.65
5 -0.558 31.3
6 -1.87 5.9
7 -0.742 4.44
8 -0.188 6.2
9 -2.27 17.1
10 -1.53 6
11 -1.9 7.71
12 -3.19 23.1
13 -3.35 8.58
14 -4.47 6.56
15 -10.2 10.9
16 -3.91 8.4
17 -3.05 4.8
18 -1.67 5.71
19 -1.51 10.4
20 0.342 8.12
21 2.02 10
22 1.96 5.97
23 3 28.4
24 -1.9 33.4
25 -0.954 6.26
26 -3.49 9.33
27 -7.17 12.5
28 -4.99 8.35
29 -4.31 17.6
30 -12.1 24.3
31 -14.3 47
32 -11.2 47.6
33 -7.32 7.91
34 -7.08 18.1
35 -9.35 29
36 -10.9 35.7
37 -10.5 39.8
38 -14.3 31.4
39 -12.8 50
40 -17.2 86.5
41 -15.4 16.8
42 -14.2 25.6
43 -11.4 49.2
44 -9.19 102
45 -4.32 45.9
46 -10.4 85.4
47 -9.96 33.9
48 -4.58 28.6
49 -4.9 43.4
50 0.308 30.4
51 2.1 21.4
52 3.37 42.1
53 2.15 18
54 2.42 11.9
55 5.28 19.5
56 8.64 14.9
57 5.76 104
58 2.15 75.3
59 3.62 101
60 3.07 81.5
61 3.08 115
62 2.35 117
63 -1 90.9
64 -3.36 115
65 1.65 42.7
66 -0.442 71
67 -0.875 138
68 -1.76 39.9
69 -5.37 35.9
70 -1.65 40
71 1.73 36.5
72 3.08 67.4
73 1.8 48.5
74 1.88 118
75 0.958 108
76 -0.367 71.4
77 -1.41 85.8
78 -2.34 131
79 2.65 95
80 3.33 143
81 4.03 112
82 6.68 183
83 7.06 115
84 6.62 174
85 6.45 122
86 7.14 149
87 4.45 33.8
88 8.21 56.4
89 10.8 90.2
90 5.88 54.4
91 3.55 196
92 3.7 119
93 5.08 199
94 6.6 208
95 2.11 108
96 3.4 171
97 3.07 161
98 1.28 216
99 4.12 108
100 4.18 244
101 3.23 157
102 2.96 60.2
103 2.29 147
104 1.39 208
105 2.4 236
106 4.49 261
107 6.48 241
108 6.48 274
109 6.22 271
110 7.1 271
111 7.52 194
112 1.53 50.4
113 3.52 184
114 1.88 125
115 0.987 121
116 1.74 109
117 2.71 229
118 3.22 175
119 3.48 183
120 3.42 267
121 3.76 176
122 6.16 224
123 5.55 194
124 6.52 209
125 3.37 67.6
126 3.1 72.3
127 3.17 133
128 6.07 292
129 5.9 106
130 12.5 116
131 15.4 246
132 15.6 315
133 17.6 302
134 13 169
135 9.62 101
136 10.9 119
137 10.9 125
138 11.5 248
139 12.5 263
140 12.5 299
141 9.93 189
142 11.2 253
143 8.07 104
144 8.7 121
145 11.8 210
146 9.02 35.8
147 6.45 43.2
148 11.3 317
149 12.1 357
150 13.6 354
151 13.6 185
152 13 319
153 14.9 265
154 15.4 320
155 15.9 311
156 18 342
157 18.8 305
158 19.1 241
159 17.4 164
160 17.3 220
161 18.4 333
162 19.4 290
163 15.7 148
164 14.9 350
165 15.4 224
166 13 0
167 18.3 331
168 16.4 60.1
169 13.3 94.2
170 17.6 331
171 20.4 346
172 20.6 324
173 19.3 348
174 17.6 346
175 19.1 333
176 22.5 342
177 23.5 342
178 23.1 346
179 23.2 311
180 22.7 251
181 19.8 218
182 15.6 176
183 15.7 226
184 15.5 213
185 15.4 322
186 13.6 138
187 14.5 76.8
188 14.3 148
189 14.7 261
190 11.9 254
191 14.6 307
192 12.9 168
193 14.2 205
194 13.3 235
195 13.5 257
196 16 230
197 16.2 167
198 17.3 280
199 20 326
200 19.5 248
201 20.5 256
202 19.5 156
203 13.9 146
204 14.3 315
205 12.8 273
206 14.4 265
207 15.2 271
208 17.2 286
209 18.8 275
210 16.1 121
211 15.6 201
212 16 156
213 16.9 216
214 18.1 292
215 19.1 200
216 17.5 217
217 15.9 236
218 15.6 224
219 19.7 181
220 21.7 277
221 22.7 280
222 18.3 278
223 15.8 297
224 14.9 283
225 19.2 250
226 18.6 237
227 20.3 230
228 21.9 270
229 20.3 262
230 19.9 235
231 20.8 213
232 20.9 254
233 19.4 178
234 19.8 159
235 20.6 138
236 18.3 165
237 15.9 130
238 13.2 227
239 13 189
240 12.4 185
241 12.1 133
242 12.4 69.1
243 13.7 117
244 10.8 139
245 13.4 215
246 11.5 109
247 15.9 66.2
248 15.6 92.8
249 14.4 186
250 12.7 177
251 12.2 208
252 14.1 121
253 13 64.1
254 10.5 209
255 10.9 172
256 13.2 39.4
257 12.9 187
258 14.7 81.3
259 13.7 35.5
260 12.9 48.3
261 9.51 166
262 11.1 174
263 8.37 185
264 8.07 63
265 13.4 78.9
266 13.4 150
267 12.9 126
268 14.4 129
269 12.2 139
270 14.3 28.1
271 12.7 31.9
272 12.2 38
273 12.9 16.2
274 13.2 95.3
275 11.7 38.4
276 13.1 106
277 12.7 46.4
278 13.7 9.21
279 14.1 109
280 12.9 18
281 13.1 71.6
282 12.1 65.3
283 10.3 68.2
284 8.55 29.3
285 7.65 95.3
286 7.19 39.1
287 6.15 52
288 6.31 57.2
289 6.52 62.2
290 5.62 53.6
291 6.54 88
292 2.31 68.5
293 1.62 95.3
294 0.804 32.9
295 8.47 23.3
296 10.6 18.2
297 3.65 43.8
298 0.888 9.48
299 7.93 16.1
300 10.5 31
301 9.36 18.7
302 7.71 22.2
303 5.48 53.7
304 1.63 27
305 5.27 15.8
306 9.44 10.6
307 12.8 8.88
308 9.79 34.6
309 5.61 41.8
310 7.16 53.2
311 7.95 45.3
312 7.95 13.9
313 6.25 35.4
314 5.05 39.1
315 3.98 7.8
316 6.07 6.56
317 5.3 2.68
318 6.58 13
319 7 10.4
320 7.63 12.4
321 9.99 5.2
322 8.66 17.7
323 11.5 8.33
324 5.96 7.47
325 -0.442 38.2
326 1.9 3.21
327 5.53 30.2
328 2.8 35.2
329 2.16 6.41
330 7.45 4.13
331 5.18 10.5
332 -1.01 32.3
333 0.296 10.8
334 -1.28 5.05
335 -0.817 3.78
336 1.63 6.07
337 1.42 5.1
338 2.42 1.42
339 3.24 2.82
340 5.76 3.86
341 7.1 1.48
342 4.73 2.42
343 2.77 1.36
344 1.98 5.77
345 1.87 1.92
346 1.66 1.59
347 4.28 1.48
348 2.65 2.9
349 0.746 5.09
350 5.41 3.37
351 4.84 3.75
352 3.28 2.59
353 4.6 3.81
354 6.02 4.62
355 5.6 4.66
356 6.16 4.37
357 4.42 4.28
358 2.92 13.8
359 -1.91 27.6
360 -0.829 6.75
361 -3.49 3.21
362 3.25 2.1
363 3.42 1.03
364 3.88 1.95
365 1.42 4.19
366 2.26 3.3
