 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
    1       1        1           -112.         14947.          4024.             0.          2094.         -4741.         16213.         18479.      58365056.      58365056.
    2       2        1           -151.         14263.          3842.             0.          2006.          -131.         19829.         19987.      71383456.      71383456.
    3       3        1            -78.         15473.          4165.             0.          2184.          -211.         21533.         21705.      77519360.      77519360.
    4       4        1            -62.         14652.          3946.             0.          2076.          -286.         20325.         20487.      73170728.      73170728.
    5       5        1           -529.         14899.          4012.             0.          2118.          -361.         20140.         20299.      72503288.      72503288.
    6       6        1           -100.         16030.          4313.             0.          2288.          -442.         22090.         22265.      79524960.      79524960.
    7       7        1            -75.         14701.          3959.             0.          2106.          -516.         20175.         20334.      72631288.      72631288.
    8       8        1           -105.         13966.          3763.             0.          2008.          -585.         19047.         19196.      68568536.      68568536.
    9       9        1           -289.         15887.          4275.             0.          2292.          -663.         21502.         21670.      77408312.      77408312.
   10      10        1           -101.         14953.          4026.             0.          2165.          -737.         20306.         20464.      73101640.      73101640.
   11      11        1           -130.         15146.          4077.             0.          2201.          -811.         20483.         20642.      73737880.      73737880.
   12      12        1           -390.         16262.          4375.             0.          2372.          -889.         21730.         21898.      78226592.      78226592.
   13      13        1           -145.         16230.          4367.             0.          2375.          -967.         21860.         22029.      78696840.      78696840.
   14      14        1           -111.         17163.          4616.             0.          2521.         -1050.         23139.         23317.      83299656.      83299656.
   15      15        1           -184.         22710.          6096.             0.          3348.         -1158.         30811.         31047.     110921056.     110921056.
   16      16        1           -142.         16133.          4341.             0.          2387.         -1236.         21483.         21647.      77339104.      77339104.
   17      17        1            -81.         15085.          4061.             0.          2239.         -1307.         19997.         20150.      71990568.      71990568.
   18      18        1            -96.         13528.          3646.             0.          2015.         -1369.         17724.         17858.      63805628.      63805628.
   19      19        1           -176.         13217.          3563.             0.          1976.         -1430.         17150.         17280.      61739536.      61739536.
   20      20        1           -137.         11212.          3028.             0.          1682.         -1480.         14304.         14412.      51495336.      51495336.
   21      21        1           -169.          9407.          2546.             0.          1416.         -1521.         11679.         11767.      42043852.      42043852.
   22      22        1           -101.          9367.          2536.             0.          1415.         -1562.         11656.         11743.      41959828.      41959828.
   23      23        1           -480.          8228.          2232.             0.          1247.         -1595.          9632.          9704.      34676584.      34676584.
   24      24        1           -564.         13065.          3522.             0.          1987.         -1651.         16359.         16481.      58893808.      58893808.
   25      25        1           -106.         11975.          3231.             0.          1828.         -1703.         15224.         15337.      54808200.      54808200.
   26      26        1           -158.         14393.          3876.             0.          2204.         -1766.         18549.         18687.      66777576.      66777576.
   27      27        1           -211.         17931.          4821.             0.          2755.         -1846.         23451.         23624.      84423248.      84423248.
   28      28        1           -141.         15548.          4185.             0.          2397.         -1914.         20075.         20223.      72269888.      72269888.
   29      29        1           -297.         14701.          3959.             0.          2274.         -1978.         18659.         18795.      67171272.      67171272.
   30      30        1           -410.         22366.          6004.             0.          3472.         -2076.         29356.         29571.     105682216.     105682216.
   31      31        1           -794.         24336.          6530.             0.          3790.         -2182.         31680.         31911.     114048320.     114048320.
   32      32        1           -804.         20965.          5630.             0.          3276.         -2272.         26794.         26989.      96460104.      96460104.
   33      33        1           -134.         16846.          4531.             0.          2641.         -2345.         21539.         21695.      77541800.      77541800.
   34      34        1           -306.         16431.          4420.             0.          2585.         -2414.         20716.         20865.      74577120.      74577120.
   35      35        1           -490.         18543.          4984.             0.          2927.         -2492.         23472.         23640.      84497552.      84497552.
   36      36        1           -603.         19910.          5349.             0.          3153.         -2575.         25233.         25414.      90838336.      90838336.
   37      37        1           -672.         19305.          5187.             0.          3067.         -2655.         24232.         24405.      87235208.      87235208.
   38      38        1           -530.         22924.          6153.             0.          3654.         -2752.         29449.         29659.     106017584.     106017584.
   39      39        1           -845.         21185.          5689.             0.          3388.         -2839.         26578.         26767.      95679864.      95679864.
   40      40        1          -1461.         25395.          6812.             0.          4074.         -2943.         31878.         32104.     114759464.     114759464.
   41      41        1           -284.         23325.          6260.             0.          3754.         -3041.         30015.         30227.     108052320.     108052320.
   42      42        1           -432.         21883.          5875.             0.          3534.         -3131.         27728.         27924.      99821496.      99821496.
   43      43        1           -831.         18855.          5067.             0.          3055.         -3206.         22940.         23101.      82583744.      82583744.
   44      44        1          -1723.         16462.          4429.             0.          2675.         -3266.         18577.         18707.      66875912.      66875912.
   45      45        1           -775.         11418.          3083.             0.          1862.         -3307.         12281.         12367.      44211772.      44211772.
   46      46        1          -1442.         17433.          4688.             0.          2851.         -3370.         20159.         20299.      72572152.      72572152.
   47      47        1           -573.         16827.          4526.             0.          2761.         -3435.         20107.         20246.      72384200.      72384200.
   48      48        1           -483.         11267.          3042.             0.          1855.         -3475.         12206.         12291.      43942460.      43942460.
   49      49        1           -733.         11495.          3103.             0.          1898.         -3513.         12250.         12335.      44101508.      44101508.
   50      50        1           -513.          6168.          1682.             0.          1022.         -3530.          4829.          4862.      17384966.      17384966.
   51      51        1           -361.          4330.          1192.             0.           720.         -3537.          2343.          2359.       8433383.       8433383.
   52      52        1           -711.          3039.           847.             0.           507.         -3538.           144.           145.        517836.        517836.
   53      53        1           -304.          4261.          1173.             0.           712.         -3545.          2297.          2313.       8268796.       8268796.
   54      54        1           -201.          3971.          1096.             0.           666.         -3551.          1981.          1994.       7130111.       7130111.
   55      55        1           -329.           204.            91.             0.            34.         -3900.         -3900.         -3834.     -14039347.     -14039347.
   56      56        1           -252.         -3143.          -803.            -0.          -530.         -3874.         -8602.         -8660.     -30966170.     -30966170.
   57      57        1          -1757.          -174.           -10.            -0.           -29.         -3856.         -5826.         -5865.     -20973520.     -20973520.
   58      58        1          -1272.           860.           266.             0.           146.         -4918.         -4918.         -4716.     -17703004.     -17703004.
   59      59        1          -1706.          -578.          -118.            -0.           -98.         -4896.         -7396.         -7446.     -26626086.     -26626086.
   60      60        1          -1377.            28.            43.             0.             5.         -4877.         -6177.         -6219.     -22238124.     -22238124.
   61      61        1          -1942.            68.            54.             0.            12.         -4859.         -6667.         -6712.     -24002558.     -24002558.
   62      62        1          -1976.           843.           261.             0.           145.         -3669.         -4397.         -4425.     -15829075.     -15829075.
   63      63        1          -1535.          4238.          1167.             0.           730.         -3671.           928.           934.       3341759.       3341759.
   64      64        1          -1942.          6605.          1798.             0.          1140.         -3680.          3921.          3946.      14116464.      14116464.
   65      65        1           -721.           476.           163.             0.            82.         -3999.         -3999.         -3923.     -14396405.     -14396405.
   66      66        1          -1199.           808.           252.             0.           140.         -4547.         -4547.         -4417.     -16369211.     -16369211.
   67      67        1          -2331.          1283.           378.             0.           223.         -4536.         -4983.         -5014.     -17938072.     -17938072.
   68      68        1           -674.          1787.           513.             0.           311.         -4657.         -2720.         -2789.      -9793111.             0.
   69      69        1           -606.          5451.          1491.             0.           951.         -4657.          2630.          2630.       9467309.             0.
   70      70        1           -676.          1675.           483.             0.           293.         -4657.         -2882.         -2882.     -10373661.             0.
   71      71        1           -616.         -1756.          -433.            -0.          -308.         -4657.         -7770.         -7770.     -27971426.             0.
   72      72        1          -1138.         -3126.          -798.            -0.          -549.         -4657.        -10269.        -10269.     -36969376.             0.
   73      73        1           -819.         -1827.          -452.            -0.          -322.         -4657.         -8076.         -8076.     -29075182.             0.
   74      74        1          -1993.         -1908.          -473.            -0.          -337.         -4657.         -9368.         -9368.     -33725648.             0.
   75      75        1          -1824.          -972.          -223.            -0.          -172.         -4657.         -7849.         -7849.     -28255958.             0.
   76      76        1          -1206.           373.           135.             0.            66.         -4657.         -5289.         -5289.     -19039436.             0.
   77      77        1          -1449.          1431.           418.             0.           254.         -4657.         -4002.         -4002.     -14408735.             0.
   78      78        1          -2213.          2375.           670.             0.           423.         -4657.         -3401.         -3401.     -12244458.             0.
   79      79        1          -1605.         -2690.          -682.            -0.          -480.         -4657.        -10113.        -10113.     -36407600.             0.
   80      80        1          -2415.         -3380.          -866.            -0.          -605.         -4657.        -11923.        -11923.     -42922552.             0.
   81      81        1          -1892.         -4091.         -1056.            -0.          -733.         -4657.        -12428.        -12428.     -44741600.             0.
   82      82        1          -3091.         -6781.         -1773.            -0.         -1218.         -4657.        -17520.        -17520.     -63072416.             0.
   83      83        1          -1942.         -7166.         -1876.            -0.         -1291.         -4657.        -16932.        -16932.     -60956584.             0.
   84      84        1          -2939.         -6720.         -1757.            -0.         -1213.         -4657.        -17285.        -17285.     -62227140.             0.
   85      85        1          -2061.         -6547.         -1711.            -0.         -1184.         -4657.        -16160.        -16160.     -58175512.             0.
   86      86        1          -2517.         -7248.         -1898.            -0.         -1314.         -4657.        -17633.        -17633.     -63477864.             0.
   87      87        1           -571.         -4453.         -1152.            -0.          -809.         -4637.        -11622.        -11689.     -41840872.     -41840872.
   88      88        1           -953.         -8148.         -2138.            -0.         -1483.         -4600.        -17322.        -17426.     -62359552.     -62359552.
   89      89        1          -1523.        -10626.         -2799.            -0.         -1939.         -4554.        -21441.        -21569.     -77186856.     -77186856.
   90      90        1           -919.         -5534.         -1441.            -0.         -1012.         -4524.        -13429.        -13509.     -48343712.     -48343712.
   91      91        1          -3310.         -3082.          -786.            -0.          -565.         -4497.        -12240.        -12313.     -44064424.     -44064424.
   92      92        1          -2010.         -3156.          -806.            -0.          -579.         -4473.        -11024.        -11090.     -39686872.     -39686872.
   93      93        1          -3361.         -4457.         -1153.            -0.          -820.         -4443.        -14234.        -14319.     -51243168.     -51243168.
   94      94        1          -3513.         -5885.         -1534.            -0.         -1085.         -4408.        -16425.        -16522.     -59130420.     -59130420.
   95      95        1          -1824.         -1268.          -302.            -0.          -234.         -4390.         -8019.         -8066.     -28868074.     -28868074.
   96      96        1          -2888.         -2503.          -632.            -0.          -464.         -4367.        -10853.        -10917.     -39069368.     -39069368.
   97      97        1          -2719.         -2097.          -523.            -0.          -389.         -4345.        -10074.        -10133.     -36265916.     -36265916.
   98      98        1          -3648.          -222.           -23.            -0.           -41.         -4327.         -8262.         -8310.     -29741466.     -29741466.
   99      99        1          -1824.         -3032.          -773.            -0.          -565.         -4305.        -10499.        -10561.     -37797840.     -37797840.
  100     100        1          -4121.         -3005.          -766.            -0.          -561.         -4279.        -12733.        -12807.     -45838176.     -45838176.
  101     101        1          -2652.         -1944.          -483.            -0.          -136.            -0.         -5214.         -5276.     -18771566.     -18771566.
  102     102        1          -1017.         -1524.          -371.            -0.          -107.         -4968.         -7987.         -8107.     -28752370.     -28752370.
  103     103        1          -2483.          -691.          -148.            -0.           -49.         -4913.         -8285.         -8408.     -29825370.     -29825370.
  104     104        1          -3513.           366.           134.             0.            26.         -4861.         -7848.         -7965.     -28253664.     -28253664.
  105     105        1          -3986.          -489.           -95.            -0.           -35.         -4800.         -9405.         -9543.     -33857644.     -33857644.
  106     106        1          -4408.         -2391.          -602.            -0.          -173.         -4720.        -12295.        -12475.     -44260876.     -44260876.
  107     107        1          -4071.         -4157.         -1073.            -0.          -303.         -4629.        -14232.        -14439.     -51236312.     -51236312.
  108     108        1          -4628.         -3901.         -1005.            -0.          -286.         -4536.        -14356.        -14564.     -51683032.     -51683032.
  109     109        1          -4577.         -3397.          -870.            -0.          -251.         -4449.        -13544.        -13739.     -48760136.     -48760136.
  110     110        1          -4577.         -4039.         -1042.            -0.          -300.         -4358.        -14316.        -14521.     -51537932.     -51537932.
  111     111        1          -3277.         -4234.         -1094.            -0.          -316.         -4275.        -13195.        -13382.     -47502368.     -47502368.
  112     112        1           -851.           607.           198.             0.            46.         -4723.         -4723.         -4634.     -17001326.     -17001326.
  113     113        1          -3108.         -1256.          -299.            -0.           -95.         -4666.         -9425.         -9557.     -33929256.     -33929256.
  114     114        1          -2111.           514.           173.             0.            39.         -4628.         -6013.         -6097.     -21647636.     -21647636.
  115     115        1          -2044.          1494.           435.             0.           114.         -4601.         -4601.         -4657.     -16564380.     -16564380.
  116     116        1          -1841.           816.           254.             0.            63.         -4570.         -5279.         -5352.     -19003500.     -19003500.
  117     117        1          -3868.           -30.            28.            -0.            -2.         -4520.         -8391.         -8506.     -30209102.     -30209102.
  118     118        1          -2956.          -414.           -74.            -0.           -32.         -4472.         -7948.         -8056.     -28612662.     -28612662.
  119     119        1          -3091.          -541.          -108.            -0.           -42.         -4422.         -8206.         -8317.     -29539926.     -29539926.
  120     120        1          -4510.          -328.           -51.            -0.           -26.         -4367.         -9282.         -9407.     -33414092.     -33414092.
  121     121        1          -2973.          -541.          -108.            -0.           -43.         -4319.         -7984.         -8091.     -28741450.     -28741450.
  122     122        1          -3783.         -2787.          -708.            -0.          -223.         -4251.        -11752.        -11908.     -42305964.     -42305964.
  123     123        1          -3277.         -2002.          -498.            -0.          -161.         -4191.        -10129.        -10263.     -36464264.     -36464264.
  124     124        1          -3530.         -2804.          -712.            -0.          -227.         -4125.        -11397.        -11547.     -41028720.     -41028720.
  125     125        1          -1142.           472.           162.             0.            38.         -4097.         -4566.         -4626.     -16438546.     -16438546.
  126     126        1          -1221.           813.           253.             0.            66.         -4072.         -4162.         -4216.     -14982145.     -14982145.
  127     127        1          -2246.           823.           256.             0.            68.         -4043.         -5144.         -5210.     -18517666.     -18517666.
  128     128        1          -4932.         -1944.          -483.            -0.          -161.         -3979.        -11498.        -11646.     -41392912.     -41392912.
  129     129        1          -1790.         -1644.          -403.            -0.          -137.         -3972.         -7945.         -8048.     -28603662.     -28603662.
  130     130        1          -1959.         -8088.         -2122.            -0.          -676.         -3878.        -16724.        -16938.     -60207316.     -60207316.
  131     131        1          -4155.        -10689.         -2816.            -0.          -899.         -3753.        -22312.        -22596.     -80324552.     -80324552.
  132     132        1          -5320.        -10536.         -2775.            -0.          -891.         -3623.        -23145.        -23437.     -83321904.     -83321904.
  133     133        1          -5101.        -12183.         -3215.            -0.         -1036.         -3483.        -25018.        -25332.     -90063624.     -90063624.
  134     134        1          -2854.         -7263.         -1902.            -0.          -621.         -3392.        -16033.        -16233.     -57717480.     -57717480.
  135     135        1          -1706.         -3677.          -945.            -0.          -316.         -3335.         -9979.        -10104.     -35926044.     -35926044.
  136     136        1          -2010.         -4800.         -1245.            -0.          -415.         -3271.        -11741.        -11886.     -42267200.     -42267200.
  137     137        1          -2111.         -4627.         -1199.            -0.          -402.         -3208.        -11546.        -11689.     -41566992.     -41566992.
  138     138        1          -4189.         -5027.         -1305.            -0.          -439.         -3132.        -14092.        -14264.     -50730596.     -50730596.
  139     139        1          -4442.         -5815.         -1516.            -0.          -511.         -3049.        -15332.        -15519.     -55196824.     -55196824.
  140     140        1          -5050.         -5586.         -1454.            -0.          -493.         -2965.        -15548.        -15737.     -55974468.     -55974468.
  141     141        1          -3192.         -2828.          -719.            -0.          -251.         -2911.         -9901.        -10020.     -35642072.     -35642072.
  142     142        1          -4273.         -3937.         -1015.            -0.          -351.         -2845.        -12421.        -12570.     -44716804.     -44716804.
  143     143        1          -1757.          -677.          -145.            -0.           -61.         -2814.         -5453.         -5518.     -19630300.     -19630300.
  144     144        1          -2044.         -1223.          -290.            -0.          -110.         -2781.         -6449.         -6525.     -23215020.     -23215020.
  145     145        1          -3547.         -4202.         -1085.            -0.          -381.         -2719.        -11934.        -12075.     -42962824.     -42962824.
  146     146        1           -605.         -1304.          -312.            -0.          -119.         -2691.         -5031.         -5090.     -18110540.     -18110540.
  147     147        1           -730.           511.           172.             0.            47.         -2981.         -2981.         -2924.     -10732966.     -10732966.
  148     148        1          -5354.         -4223.         -1091.            -0.          -389.         -2912.        -13969.        -14132.     -50288124.     -50288124.
  149     149        1          -6030.         -4819.         -1250.            -0.          -446.         -2833.        -15378.        -15557.     -55361932.     -55361932.
  150     150        1          -5979.         -6105.         -1593.            -0.          -568.         -2747.        -16991.        -17187.     -61168916.     -61168916.
  151     151        1          -3125.         -5910.         -1541.            -0.          -553.         -2676.        -13805.        -13963.     -49696456.     -49696456.
  152     152        1          -5388.         -5095.         -1324.            -0.          -479.         -2601.        -14887.        -15057.     -53591468.     -53591468.
  153     153        1          -4476.         -6801.         -1779.            -0.          -642.         -2519.        -16217.        -16402.     -58381904.     -58381904.
  154     154        1          -5405.         -7070.         -1850.            -0.          -671.         -2432.        -17428.        -17626.     -62742240.     -62742240.
  155     155        1          -5253.         -7337.         -1922.            -0.          -700.         -2345.        -17557.        -17755.     -63204680.     -63204680.
  156     156        1          -5776.         -9192.         -2417.            -0.          -881.         -2244.        -20510.        -20740.     -73835232.     -73835232.
  157     157        1          -5151.         -9726.         -2559.            -0.          -937.         -2142.        -20516.        -20745.     -73859248.     -73859248.
  158     158        1          -4071.         -9769.         -2571.            -0.          -946.         -2047.        -19403.        -19618.     -69849760.     -69849760.
