 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1  1007.00    0.00    0.98    0.13    2.18    0.96   14.59
    2       2        1  1014.00    0.00    0.99    0.63    1.48    0.71   13.83
    3       3        1  1021.00    0.00    1.00   -0.76    0.32    0.84   13.10
    4       4        1  1028.00    0.00    1.00   -0.13   -0.07    0.91   12.40
    5       5        1  1035.00    0.00    1.01   -0.56   -0.24    1.24   11.76
    6       6        1  1042.00    0.00    1.02   -1.87   -0.86    0.67   11.13
    7       7        1  1049.00    0.00    1.02   -0.74   -0.86    0.21   10.52
    8       8        1  1056.00    0.00    1.03   -0.19   -0.87   -0.24    9.96
    9       9        1  1063.00    0.00    1.04   -2.27   -1.30   -0.65    9.40
   10      10        1  1070.00    0.00    1.04   -1.53   -1.22   -0.84    8.84
   11      11        1  1077.00    0.00    1.05   -1.90   -1.51   -1.12    8.32
   12      12        1  1084.00    0.00    1.06   -3.19   -2.26   -1.39    7.80
   13      13        1  1091.00    0.00    1.07   -3.35   -2.53   -1.75    7.28
   14      14        1  1098.00    0.00    1.07   -4.47   -3.26   -2.18    6.76
   15      15        1  1105.00    0.00    1.08  -10.20   -5.34   -3.11    6.15
   16      16        1  1112.00    0.00    1.09   -3.91   -5.52   -3.46    5.59
   17      17        1  1119.00    0.00    1.09   -3.05   -5.44   -3.78    5.13
   18      18        1  1126.00    0.00    1.10   -1.67   -4.74   -3.71    4.74
   19      19        1  1133.00    0.00    1.11   -1.51   -2.57   -3.71    4.38
   20      20        1  1140.00    0.00    1.11    0.34   -1.51   -3.46    4.08
   21      21        1  1147.00    0.00    1.12    2.02   -0.24   -2.88    3.85
   22      22        1  1154.00    0.00    1.13    1.96    0.67   -2.29    3.67
   23      23        1  1161.00    0.00    1.13    3.00    1.80   -1.46    3.53
   24      24        1  1168.00    0.00    1.14   -1.90    1.24   -0.54    3.37
   25      25        1  1175.00    0.00    1.15   -0.95    0.49   -0.21    3.17
   26      26        1  1182.00    0.00    1.15   -3.49   -0.87   -0.26    2.96
   27      27        1  1189.00    0.00    1.16   -7.17   -3.41   -0.87    2.67
   28      28        1  1196.00    0.00    1.17   -4.99   -4.18   -1.26    2.37
   29      29        1  1203.00    0.00    1.17   -4.31   -5.02   -1.77    2.11
   30      30        1  1210.00    0.00    1.18  -12.10   -7.18   -3.34    1.75
   31      31        1  1217.00    0.00    1.19  -14.30   -8.96   -5.15    1.26
   32      32        1  1224.00    0.00    1.20  -11.20  -10.51   -6.73    0.78
   33      33        1  1231.00    0.00    1.20   -7.32  -11.26   -7.33    0.38
   34      34        1  1238.00    2.20    1.21   -7.08  -10.01   -8.01    0.06
   35      35        1  1245.00    8.51    1.22   -9.35   -8.77   -8.66    0.01
   36      36        1  1252.00   15.53    1.22  -10.90   -8.70   -9.08    0.01
   37      37        1  1259.00   22.56    1.23  -10.50   -9.49   -9.69    0.01
   38      38        1  1266.00   31.54    1.24  -14.30  -11.30  -10.80    0.01
   39      39        1  1273.00   39.81    1.24  -12.80  -12.16  -10.88    0.01
   40      40        1  1280.00   49.72    1.25  -17.20  -13.73  -11.20    0.01
   41      41        1  1287.00   59.53    1.26  -15.40  -14.96  -11.66    0.01
   42      42        1  1294.00   69.03    1.26  -14.20  -14.93  -12.43    0.01
   43      43        1  1301.00   77.39    1.27  -11.40  -14.58  -12.91    0.01
   44      44        1  1308.00   84.49    1.28   -9.19  -12.58  -12.89    0.01
   45      45        1  1315.00   89.76    1.28   -4.32   -9.81  -12.16    0.01
   46      46        1  1322.00   97.23    1.29  -10.40   -8.86  -12.15    0.01
   47      47        1  1329.00  104.73    1.30   -9.96   -8.50  -11.67    0.01
   48      48        1  1336.00  109.78    1.30   -4.58   -7.35  -10.75    0.01
   49      49        1  1343.00  114.44    1.31   -4.90   -7.49   -9.39    0.01
   50      50        1  1350.00  116.51    1.32    0.31   -4.82   -7.64    0.01
   51      51        1  1357.00  117.34    1.33    2.10   -1.80   -5.83    0.01
   52      52        1  1364.00  116.99    1.33    3.37    0.19   -4.19    0.01
   53      53        1  1371.00  116.91    1.34    2.15    1.95   -2.93    0.01
   54      54        1  1378.00  116.52    1.35    2.42    2.48   -2.18    0.01
   55      55        1  1385.00  114.37    1.35    5.28    3.27   -0.44    0.01
   56      56        1  1392.00  110.22    1.36    8.64    4.59    1.63    0.01
   57      57        1  1399.00  106.28    1.37    5.76    5.49    2.78    0.01
   58      58        1  1406.00  103.77    1.37    2.15    5.42    3.56    0.01
   59      59        1  1413.00  100.36    1.38    3.62    5.01    3.93    0.01
   60      60        1  1420.00   97.28    1.39    3.07    3.62    4.04    0.01
   61      61        1  1427.00   93.98    1.39    3.08    2.95    4.00    0.01
   62      62        1  1434.00   90.96    1.40    2.35    3.00    4.03    0.01
   63      63        1  1441.00   89.62    1.41   -1.00    1.84    3.65    0.01
   64      64        1  1448.00   89.38    1.41   -3.36    0.23    2.69    0.01
   65      65        1  1455.00   87.82    1.42    1.65   -0.12    1.91    0.01
   66      66        1  1462.00   87.14    1.43   -0.44   -0.82    1.22    0.01
   67      67        1  1469.00   86.29    1.43   -0.88   -0.79    0.88    0.01
   68      68        1  1476.00   86.66    1.44   -1.76   -0.39    0.29    0.01
   69      69        1  1483.00   88.85    1.45   -5.37   -2.14   -0.65    0.01
   70      70        1  1490.00   89.63    1.46   -1.65   -2.45   -1.18    0.01
   71      71        1  1497.00   89.07    1.46    1.73   -1.80   -1.25    0.01
   72      72        1  1504.00   87.59    1.47    3.08   -0.59   -0.79    0.01
   73      73        1  1511.00   86.58    1.48    1.80    1.21   -0.22    0.01
   74      74        1  1518.00   85.06    1.48    1.88    2.09   -0.19    0.01
   75      75        1  1525.00   83.95    1.49    0.96    1.90   -0.04    0.01
