 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
    1       1        1            -57.          7576.           618.           309.             0.         -3211.          5235.          6636.      18846222.      18846222.
    2       2        1            -76.          7213.           593.           305.             7.           -93.          7948.          8047.      28611314.      28611314.
    3       3        1            -40.          7809.           565.           301.            15.          -155.          8495.          8601.      30583262.      30583262.
    4       4        1            -31.          7377.           539.           297.            21.          -212.          7991.          8090.      28768786.      28768786.
    5       5        1           -268.          7489.           514.           295.            29.          -268.          7791.          7887.      28049130.      28049130.
    6       6        1            -50.          8049.           488.           291.            38.          -328.          8489.          8593.      30562000.      30562000.
    7       7        1            -38.          7365.           463.           288.            42.          -382.          7738.          7832.      27857972.      27857972.
    8       8        1            -53.          6983.           441.           286.            47.          -433.          7271.          7358.      26174404.      26174404.
    9       9        1           -146.          7947.           419.           284.            60.          -489.          8075.          8172.      29071750.      29071750.
   10      10        1            -51.          7465.           396.           282.            64.          -541.          7615.          7705.      27412898.      27412898.
   11      11        1            -66.          7556.           372.           280.            72.          -594.          7621.          7711.      27434290.      27434290.
   12      12        1           -198.          8116.           348.           278.            85.          -648.          7982.          8076.      28735054.      28735054.
   13      13        1            -73.          8095.           325.           276.            92.          -702.          8013.          8106.      28845844.      28845844.
   14      14        1            -56.          8563.           301.           272.           106.          -758.          8429.          8527.      30343454.      30343454.
   15      15        1            -93.         11370.           270.           267.           151.          -831.         11134.         11262.      40081160.      40081160.
   16      16        1            -72.          8035.           247.           263.           115.          -883.          7706.          7794.      27740314.      27740314.
   17      17        1            -41.          7503.           226.           260.           114.          -930.          7133.          7214.      25677140.      25677140.
   18      18        1            -49.          6715.           207.           257.           109.          -971.          6267.          6338.      22562348.      22562348.
   19      19        1            -89.          6558.           190.           255.           112.         -1010.          6015.          6083.      21655038.      21655038.
   20      20        1            -69.          5543.           175.           254.           100.         -1043.          4960.          5016.      17857782.      17857782.
   21      21        1            -86.          4631.           163.           252.            88.         -1068.          3980.          4024.      14328649.      14328649.
   22      22        1            -51.          4614.           150.           251.            92.         -1094.          3963.          4007.      14267406.      14267406.
   23      23        1           -243.          4040.           140.           251.            85.         -1114.          3159.          3193.      11371073.      11371073.
   24      24        1           -286.          6495.           124.           250.           142.         -1148.          5577.          5638.      20078124.      20078124.
   25      25        1            -54.          5946.           109.           250.           136.         -1181.          5207.          5263.      18743454.      18743454.
   26      26        1            -80.          7175.            93.           249.           171.         -1220.          6388.          6457.      22995820.      22995820.
   27      27        1           -107.          8972.            74.           247.           222.         -1270.          8139.          8226.      29299454.      29299454.
   28      28        1            -71.          7770.            58.           245.           200.         -1312.          6889.          6963.      24800052.      24800052.
   29      29        1           -151.          7346.            44.           244.           196.         -1351.          6328.          6395.      22781366.      22781366.
   30      30        1           -208.         11236.            22.           242.           310.         -1412.         10191.         10298.      36686328.      36686328.
   31      31        1           -402.         12242.            -1.           239.           349.         -1477.         10950.         11065.      39418372.      39418372.
   32      32        1           -407.         10542.           -23.           236.           311.         -1532.          9127.          9222.      32857178.      32857178.
   33      33        1            -68.          8463.           -40.           235.           258.         -1576.          7273.          7348.      26181800.      26181800.
   34      34        1           -155.          8261.           -56.           235.           259.         -1617.          6927.          6999.      24937818.      24937818.
   35      35        1           -248.          9341.           -75.           235.           302.         -1663.          7891.          7972.      28408266.      28408266.
   36      36        1           -306.         10043.           -94.           234.           334.         -1713.          8499.          8586.      30598190.      30598190.
   37      37        1           -341.          9747.          -111.           233.           334.         -1760.          8103.          8185.      29169470.      29169470.
   38      38        1           -269.         11592.          -132.           231.           408.         -1817.         10013.         10114.      36046856.      36046856.
   39      39        1           -428.         10722.          -150.           230.           388.         -1869.          8893.          8983.      32015208.      32015208.
   40      40        1           -740.         12869.          -171.           228.           478.         -1929.         10733.         10841.      38639036.      38639036.
   41      41        1           -144.         11832.          -192.           225.           450.         -1987.         10185.         10287.      36666340.      36666340.
   42      42        1           -219.         11114.          -209.           225.           434.         -2040.          9305.          9397.      33498732.      33498732.
   43      43        1           -421.          9593.          -222.           226.           383.         -2082.          7477.          7551.      26917056.      26917056.
   44      44        1           -873.          8394.          -231.           228.           343.         -2115.          5747.          5803.      20688368.      20688368.
   45      45        1           -393.          5851.          -238.           231.           245.         -2135.          3561.          3596.      12819142.      12819142.
   46      46        1           -731.          8912.          -249.           232.           382.         -2170.          6376.          6438.      22954476.      22954476.
   47      47        1           -290.          8617.          -260.           234.           377.         -2205.          6473.          6536.      23302892.      23302892.
   48      48        1           -245.          5812.          -266.           236.           260.         -2225.          3573.          3607.      12861475.      12861475.
   49      49        1           -371.          5940.          -270.           239.           271.         -2245.          3563.          3597.      12827893.      12827893.
   50      50        1           -260.          3251.          -267.           242.           152.         -2250.           868.           876.       3123135.       3123135.
   51      51        1           -183.           731.          -685.            92.            35.         -3085.         -3096.         -2967.     -11145526.     -11145526.
   52      52        1           -360.           115.          -669.            98.             6.         -3066.         -3875.         -3912.     -13950498.     -13950498.
   53      53        1           -154.           685.          -677.            97.            34.         -3096.         -3112.         -3107.     -11202233.     -11202233.
   54      54        1           -102.           576.          -664.           103.            29.         -3080.         -3137.         -3167.     -11294078.     -11294078.
