 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1  2136.00    0.00    2.00    0.13    8.73   10.21   14.90
    2       2        1  1530.77    0.00    2.01    0.63    8.62   10.22   14.69
    3       3        1  1541.39    0.00    2.03   -0.76    8.51   10.21   14.45
    4       4        1  1552.01    0.00    2.04   -0.13    8.38   10.20   14.20
    5       5        1  1562.63    0.00    2.06   -0.56    8.24   10.18   13.97
    6       6        1  1573.25    0.00    2.07   -1.87    8.09   10.15   13.73
    7       7        1  1583.86    0.00    2.08   -0.74    7.93   10.13   13.50
    8       8        1  1594.48    0.00    2.10   -0.19    7.79   10.10   13.29
    9       9        1  1605.10    0.00    2.11   -2.27    7.64   10.07   13.07
   10      10        1  1615.72    0.00    2.13   -1.53    7.48   10.04   12.85
   11      11        1  1626.34    0.00    2.14   -1.90    7.32   10.02   12.63
   12      12        1  1636.95    0.00    2.15   -3.19    7.17    9.98   12.42
   13      13        1  1647.57    0.00    2.17   -3.35    7.01    9.93   12.20
   14      14        1  1658.19    0.00    2.18   -4.47    6.83    9.90   11.97
   15      15        1  1668.81    0.00    2.20  -10.20    6.63    9.85   11.70
   16      16        1  1679.43    0.00    2.21   -3.91    6.50    9.82   11.45
   17      17        1  1690.04    0.00    2.23   -3.05    6.38    9.80   11.25
   18      18        1  1700.66    0.00    2.24   -1.67    6.28    9.77   11.07
   19      19        1  1711.28    0.00    2.25   -1.51    6.19    9.75   10.91
   20      20        1  1721.90    0.00    2.27    0.34    6.10    9.74   10.77
   21      21        1  1732.52    0.00    2.28    2.02    6.03    9.74   10.66
   22      22        1  1743.13    0.00    2.30    1.96    5.95    9.74   10.56
   23      23        1  1753.75    0.00    2.31    3.00    5.90    9.74   10.48
   24      24        1  1764.37    0.00    2.32   -1.90    5.79    9.72   10.37
   25      25        1  1774.99    0.00    2.34   -0.95    5.70    9.70   10.24
   26      26        1  1785.61    0.00    2.35   -3.49    5.57    9.68   10.09
   27      27        1  1796.22    0.00    2.37   -7.17    5.41    9.65    9.91
   28      28        1  1806.84    0.00    2.38   -4.99    5.28    9.63    9.72
   29      29        1  1817.46    0.00    2.39   -4.31    5.16    9.60    9.56
   30      30        1  1828.08    0.00    2.41  -12.10    4.99    9.54    9.36
   31      31        1  1838.70    0.00    2.42  -14.30    4.79    9.47    9.10
   32      32        1  1849.31    0.00    2.44  -11.20    4.62    9.41    8.86
   33      33        1  1859.93    0.00    2.45   -7.32    4.50    9.37    8.66
   34      34        1  1870.55    0.00    2.46   -7.08    4.38    9.32    8.49
   35      35        1  1881.17    0.00    2.48   -9.35    4.22    9.26    8.32
   36      36        1  1891.79    0.00    2.49  -10.90    4.05    9.21    8.13
   37      37        1  1902.40    0.00    2.51  -10.50    3.88    9.17    7.93
   38      38        1  1913.02    0.00    2.52  -14.30    3.68    9.11    7.72
   39      39        1  1923.64    0.00    2.53  -12.80    3.51    9.06    7.50
   40      40        1  1934.26    0.00    2.55  -17.20    3.32    9.00    7.28
   41      41        1  1944.88    0.00    2.56  -15.40    3.14    8.93    7.04
   42      42        1  1955.49    0.00    2.58  -14.20    2.98    8.87    6.82
   43      43        1  1966.11    0.00    2.59  -11.40    2.84    8.82    6.63
   44      44        1  1976.73    0.00    2.60   -9.19    2.69    8.78    6.48
   45      45        1  1987.35    0.00    2.62   -4.32    2.56    8.75    6.39
   46      46        1  1997.97    0.00    2.63  -10.40    2.40    8.69    6.28
   47      47        1  2008.58    0.00    2.65   -9.96    2.23    8.64    6.14
   48      48        1  2019.20    0.00    2.66   -4.58    2.12    8.60    6.04
   49      49        1  2029.82    0.00    2.68   -4.90    1.98    8.57    5.97
   50      50        1  2040.44    0.00    2.69    0.31    1.90    8.56    5.93
   51      51        1  2051.06    0.00    2.70    2.10    1.83    8.56    3.54
   52      52        1  2061.67    0.00    2.72    3.37    1.76    8.55    3.58
   53      53        1  2072.29    0.00    2.73    2.15    1.68    8.54    3.52
   54      54        1  2082.91    0.00    2.75    2.42    1.62    8.50    3.55
   55      55        1  2093.53    0.00    2.76    5.28    1.57    8.47    3.62
   56      56        1  2104.15    0.00    2.77    8.64    1.54    8.44    3.74
   57      57        1  2114.76    0.00    2.79    5.76    1.48    8.40    3.86
   58      58        1  2125.38    0.00    2.80    2.15    1.40    8.36    3.94
   59      59        1  2136.00    0.00    2.82    3.62    1.33    8.34    4.01
   60      60        1  2146.61    0.00    2.83    3.07    1.26    8.32    4.08
   61      61        1  2122.27    0.00    2.81    3.08    1.20    8.29    4.13
   62      62        1  2108.55    0.00    2.79    2.35    1.15    8.26    4.14
   63      63        1  2094.83    0.00    2.78   -1.00    1.08    8.21    4.13
   64      64        1  2081.10    0.00    2.76   -3.36    1.00    8.16    4.09
   65      65        1  2067.38    0.00    2.74    1.65    0.97    8.13    4.06
   66      66        1  2053.66    0.00    2.72   -0.44    0.92    8.09    4.04
   67      67        1  2039.94    0.00    2.70   -0.88    0.87    8.06    4.01
   68      68        1  2026.21    0.00    2.68   -1.76    0.81    8.02    3.97
   69      69        1  2012.49    0.00    2.67   -5.37    0.74    7.96    3.90
   70      70        1  1998.77    0.00    2.65   -1.65    0.68    7.92    3.83
   71      71        1  1985.04    0.00    2.63    1.73    0.68    7.91    3.80
   72      72        1  1971.32    0.00    2.61    3.08    0.69    7.88    3.80
   73      73        1  1957.60    0.00    2.59    1.80    0.69    7.84    3.81
   74      74        1  1943.87    0.00    2.58    1.88    0.65    7.80    3.81
   75      75        1  1930.15    0.00    2.56    0.96    0.58    7.76    3.82
   76      76        1  1916.43    0.00    2.54   -0.37    0.55    7.71    3.80
   77      77        1  1902.71    0.00    2.52   -1.41    0.54    7.66    3.77
   78      78        1  1888.98    0.00    2.50   -2.34    0.46    7.60    3.73
   79      79        1  1875.26    0.00    2.48    2.65    0.41    7.55    3.72
   80      80        1  1861.54    0.00    2.47    3.33    0.37    7.50    3.74
   81      81        1  1847.81    0.00    2.45    4.03    0.34    7.45    3.78
   82      82        1  1834.09    0.00    2.43    6.68    0.35    7.40    3.85
   83      83        1  1820.37    0.00    2.41    7.06    0.39    7.37    3.93
   84      84        1  1806.64    0.00    2.39    6.62    0.40    7.33    4.01
   85      85        1  1792.92    0.00    2.38    6.45    0.38    7.29    4.09
   86      86        1  1779.20    0.00    2.36    7.14    0.34    7.25    4.16
   87      87        1  1765.47    0.00    2.34    4.45    0.30    7.21    4.21
   88      88        1  1751.75    0.00    2.32    8.21    0.32    7.19    4.26
   89      89        1  1738.03    0.00    2.30   10.80    0.34    7.17    4.36
   90      90        1  1724.31    0.00    2.28    5.88    0.33    7.15    4.43
   91      91        1  1710.58    0.00    2.27    3.55    0.30    7.09    4.47
   92      92        1  1696.86    0.00    2.25    3.70    0.28    7.05    4.51
   93      93        1  1683.14    0.00    2.23    5.08    0.28    7.02    4.55
   94      94        1  1669.41    0.00    2.21    6.60    0.30    6.98    4.63
   95      95        1  1655.69    0.00    2.19    2.11    0.27    6.92    4.66
   96      96        1  1641.97    0.00    2.18    3.40    0.26    6.86    4.68
   97      97        1  1628.24    0.00    2.16    3.07    0.23    6.81    4.70
   98      98        1  1614.52    0.00    2.14    1.28    0.20    6.75    4.72
   99      99        1  1600.80    0.00    2.12    4.12    0.17    6.70    4.73
  100     100        1  1587.07    0.00    2.10    4.18    0.13    6.63    4.78
  101     101        1  1573.35    0.00    2.08    3.23    0.09    6.56    4.82
  102     102        1  1559.63    0.00    2.07    2.96    0.03    6.49    4.82
  103     103        1  1545.91    0.00    2.05    2.29    0.01    6.42    4.82
  104     104        1  1532.18    0.00    2.03    1.39    0.02    6.35    4.82
  105     105        1  1518.46    0.00    2.01    2.40    0.02    6.29    4.84
  106     106        1  1504.74    0.00    1.99    4.49    0.02    6.25    4.89
  107     107        1  1491.01    0.00    1.98    6.48    0.04    6.22    4.97
  108     108        1  1477.29    0.00    1.96    6.48    0.07    6.19    5.07
  109     109        1  1463.57    0.00    1.94    6.22    0.06    6.15    5.17
  110     110        1  1449.84    0.00    1.92    7.10    0.08    6.13    5.27
  111     111        1  1436.12    0.00    1.90    7.52    0.14    6.11    5.37
  112     112        1  1422.40    0.00    1.88    1.53    0.15    6.06    5.39
  113     113        1  1408.67    0.00    1.87    3.52    0.18    6.02    5.37
  114     114        1  1394.95    0.00    1.85    1.88    0.20    5.99    5.37
  115     115        1  1381.23    0.00    1.83    0.99    0.19    5.94    5.34
  116     116        1  1367.51    0.00    1.81    1.74    0.19    5.90    5.30
  117     117        1  1353.78    0.00    1.79    2.71    0.20    5.86    5.30
  118     118        1  1340.06    0.00    1.78    3.22    0.20    5.83    5.32
  119     119        1  1326.34    0.00    1.76    3.48    0.18    5.79    5.34
  120     120        1  1312.61    0.00    1.74    3.42    0.16    5.75    5.38
  121     121        1  1298.89    0.00    1.72    3.76    0.15    5.71    5.41
  122     122        1  1285.17    0.00    1.70    6.16    0.17    5.67    5.47
  123     123        1  1271.44    0.00    1.68    5.55    0.20    5.62    5.54
  124     124        1  1257.72    0.00    1.67    6.52    0.23    5.57    5.61
  125     125        1  1244.00    0.00    1.65    3.37    0.24    5.52    5.64
  126     126        1  1230.27    0.00    1.63    3.10    0.23    5.46    5.61
  127     127        1  1216.55    0.00    1.61    3.17    0.24    5.42    5.59
  128     128        1  1202.83    0.00    1.59    6.07    0.27    5.39    5.64
  129     129        1  1189.11    0.00    1.58    5.90    0.28    5.37    5.71
  130     130        1  1175.38    0.00    1.56   12.50    0.33    5.36    5.82
  131     131        1  1161.66    0.00    1.54   15.40    0.41    5.36    6.04
  132     132        1  1147.94    0.00    1.52   15.60    0.49    5.36    6.33
  133     133        1  1134.21    0.00    1.50   17.60    0.57    5.35    6.65
  134     134        1  1120.49    0.00    1.48   13.00    0.62    5.34    6.90
  135     135        1  1106.77    0.00    1.47    9.62    0.65    5.32    7.03
  136     136        1  1093.04    0.00    1.45   10.90    0.69    5.30    7.13
  137     137        1  1079.32    0.00    1.43   10.90    0.75    5.28    7.24
  138     138        1  1065.60    0.00    1.41   11.50    0.84    5.26    7.39
  139     139        1  1051.88    0.00    1.39   12.50    0.93    5.24    7.58
  140     140        1  1038.15    0.00    1.38   12.50    1.04    5.22    7.78
  141     141        1  1024.43    0.00    1.36    9.93    1.09    5.20    7.94
  142     142        1  1010.71    0.00    1.34   11.20    1.14    5.18    8.07
  143     143        1   996.98    0.00    1.32    8.07    1.17    5.14    8.15
  144     144        1   983.26    0.00    1.30    8.70    1.22    5.10    8.18
  145     145        1   969.54    0.00    1.28   11.80    1.30    5.06    8.28
  146     146        1   955.81    0.00    1.27    9.02    1.36    5.03    8.36
  147     147        1   942.09    0.00    1.25    6.45    1.41    5.00    8.33
  148     148        1   928.37    0.00    1.23   11.30    1.49    4.99    8.41
  149     149        1   914.64    0.00    1.21   12.10    1.58    4.96    8.62
  150     150        1   900.92    0.00    1.19   13.60    1.69    4.94    8.87
  151     151        1   887.20    0.00    1.18   13.60    1.79    4.92    9.08
  152     152        1   873.48    0.00    1.16   13.00    1.88    4.89    9.29
  153     153        1   859.75    0.00    1.14   14.90    2.00    4.87    9.52
  154     154        1   846.03    0.00    1.12   15.40    2.12    4.85    9.78
  155     155        1   832.31    0.00    1.10   15.90    2.24    4.84   10.06
  156     156        1   818.58    0.00    1.08   18.00    2.39    4.83   10.39
  157     157        1   804.86    0.00    1.07   18.80    2.54    4.83   10.74
  158     158        1   791.14    0.00    1.05   19.10    2.70    4.82   11.07
  159     159        1   777.41    0.00    1.03   17.40    2.90    4.81   11.34
  160     160        1   763.69    0.00    1.01   17.30    3.04    4.81   11.57
  161     161        1   749.97    0.00    0.99   18.40    3.19    4.82   11.87
  162     162        1   736.24    0.00    0.98   19.40    3.34    4.84   12.20
  163     163        1   722.52    0.00    0.96   15.70    3.46    4.85   12.43
  164     164        1   708.80    0.00    0.94   14.90    3.56    4.86   12.60
  165     165        1   695.08    0.00    0.92   15.40    3.65    4.87   12.79
  166     166        1   681.35    0.00    0.90   13.00    3.73    4.87   12.82
  167     167        1   667.63    0.00    0.88   18.30    3.83    4.89   12.96
  168     168        1   653.91    0.00    0.87   16.40    3.96    4.91   13.16
  169     169        1   640.18    0.00    0.85   13.30    4.06    4.91   13.18
  170     170        1   626.46    0.00    0.83   17.60    4.21    4.93   13.34
  171     171        1   634.01    0.00    0.83   20.40    4.40    4.94   13.69
  172     172        1   637.78    0.00    0.84   20.60    4.58    4.96   14.09
  173     173        1   641.55    0.00    0.84   19.30    4.74    4.98   14.44
  174     174        1   645.33    0.00    0.85   17.60    4.95    4.99   14.72
  175     175        1   649.10    0.00    0.85   19.10    5.18    5.02   14.98
  176     176        1   652.88    0.00    0.86   22.50    5.41    5.05   15.31
  177     177        1   656.65    0.00    0.86   23.50    5.63    5.08   15.71
  178     178        1   660.42    0.00    0.87   23.10    5.84    5.13   16.09
  179     179        1   664.20    0.00    0.88   23.20    6.06    5.17   16.44
  180     180        1   667.97    0.00    0.88   22.70    6.30    5.20   16.73
  181     181        1   671.74    0.00    0.88   19.80    6.51    5.23   16.92
  182     182        1   675.52    0.00    0.89   15.60    6.71    5.23   16.94
  183     183        1   679.29    0.00    0.89   15.70    6.91    5.24   16.91
  184     184        1   683.07    0.00    0.90   15.50    7.14    5.24   16.88
  185     185        1   686.84    0.00    0.90   15.40    7.35    5.26   16.88
  186     186        1   690.61    0.00    0.91   13.60    7.55    5.27   16.82
  187     187        1   694.39    0.00    0.91   14.50    7.73    5.29   16.68
  188     188        1   698.16    0.00    0.92   14.30    7.89    5.32   16.56
  189     189        1   701.93    0.00    0.92   14.70    8.02    5.32   16.51
  190     190        1   705.71    0.00    0.93   11.90    8.18    5.32   16.45
  191     191        1   709.48    0.00    0.93   14.60    8.35    5.32   16.41
  192     192        1   713.26    0.00    0.94   12.90    8.47    5.32   16.36
  193     193        1   717.03    0.00    0.94   14.20    8.60    5.32   16.27
  194     194        1   720.80    0.00    0.95   13.30    8.69    5.32   16.22
  195     195        1   724.58    0.00    0.95   13.50    8.77    5.32   16.17
  196     196        1   728.35    0.00    0.96   16.00    8.86    5.34   16.17
  197     197        1   732.13    0.00    0.96   16.20    8.95    5.35   16.33
  198     198        1   735.90    0.00    0.97   17.30    9.06    5.36   16.38
  199     199        1   739.67    0.00    0.97   20.00    9.16    5.39   16.53
  200     200        1   743.45    0.00    0.98   19.50    9.24    5.41   16.69
  201     201        1   747.22    0.00    0.98   20.50    9.34    5.44   16.84
  202     202        1   750.99    0.00    0.99   19.50    9.46    5.46   16.95
  203     203        1   754.77    0.00    0.99   13.90    9.53    5.46   16.92
  204     204        1   758.54    0.00    1.00   14.30    9.61    5.46   16.96
  205     205        1   762.32    0.00    1.00   12.80    9.68    5.46   16.92
  206     206        1   766.09    0.00    1.01   14.40    9.76    5.47   16.86
  207     207        1   769.86    0.00    1.01   15.20    9.87    5.49   17.05
  208     208        1   773.64    0.00    1.02   17.20   10.01    5.52   17.08
  209     209        1   777.41    0.00    1.02   18.80   10.13    5.56   17.16
  210     210        1   781.19    0.00    1.03   16.10   10.25    5.59   17.17
  211     211        1   784.96    0.00    1.03   15.60   10.36    5.62   17.12
  212     212        1   788.73    0.00    1.04   16.00   10.49    5.65   17.08
  213     213        1   792.51    0.00    1.04   16.90   10.64    5.69   17.06
  214     214        1   796.28    0.00    1.05   18.10   10.78    5.73   17.11
  215     215        1   800.05    0.00    1.05   19.10   10.90    5.78   17.19
  216     216        1   803.83    0.00    1.06   17.50   11.00    5.83   17.24
