doy	level
1	3.12
2	3.15
3	3.22
4	3.26
5	3.29
6	3.31
7	3.35
8	3.39
9	3.44
10	3.43
11	3.44
12	3.46
13	3.47
14	3.50
15	3.53
16	3.55
17	3.59
18	3.61
19	3.64
20	3.68
21	3.72
22	3.75
23	3.77
24	3.81
25	3.84
26	3.89
27	3.91
28	3.93
29	3.96
30	3.99
31	4.02
32	4.04
33	4.06
34	4.08
35	4.12
36	4.13
37	4.15
38	4.16
39	4.16
40	4.18
41	4.15
42	4.10
43	4.20
44	4.23
45	4.23
46	4.23
47	4.23
48	4.26
49	4.30
50	4.33
51	4.36
52	4.40
53	4.45
54	4.46
55	4.50
56	4.50
57	4.50
58	4.50
59	4.50
60	4.49
61	4.46
62	4.43
63	4.40
64	4.36
65	4.25
66	4.09
67	3.90
68	3.74
69	3.57
70	3.41
71	3.26
72	3.17
73	3.13
74	3.11
75	3.03
76	2.90
77	2.73
78	2.56
79	2.37
80	2.18
81	2.01
82	1.91
83	1.86
84	1.87
85	1.87
86	1.91
87	1.95
88	1.99
89	2.02
90	2.06
91	2.08
92	2.12
93	2.16
94	2.19
95	2.22
96	2.26
97	2.30
98	2.33
99	2.36
100	2.35
101	2.28
102	2.14
103	1.93
104	1.70
105	1.46
106	1.23
107	1.01
108	0.86
109	0.79
110	0.76
111	0.76
112	0.76
113	0.76
114	0.76
115	0.75
116	0.75
117	0.75
118	0.75
119	0.75
120	0.75
121	0.75
122	0.75
123	0.76
124	0.76
125	0.76
126	0.76
127	0.77
128	0.77
129	0.78
130	0.78
131	0.78
132	0.79
133	0.79
134	0.80
135	0.80
136	0.81
137	0.81
138	0.81
139	0.81
140	0.82
141	0.82
142	0.84
143	0.87
144	0.91
145	0.94
146	0.97
147	1.00
148	1.04
149	1.07
150	1.09
151	1.12
152	1.14
153	1.16
154	1.18
155	1.20
156	1.21
157	1.20
158	1.20
159	1.20
160	1.19
161	1.19
162	1.19
163	1.19
164	1.19
165	1.18
166	1.18
167	1.18
168	1.18
169	1.18
170	1.18
171	1.18
172	1.18
173	1.18
174	1.18
175	1.18
176	1.17
177	1.17
178	1.17
179	1.17
180	1.17
181	1.17
182	1.17
183	1.15
184	1.14
185	1.12
186	1.10
187	1.09
188	1.07
189	1.06
190	1.07
191	1.07
192	1.07
193	1.08
194	1.08
195	1.08
196	1.08
197	1.07
198	1.07
199	1.07
200	1.06
201	1.06
202	1.06
203	1.06
204	1.05
205	1.05
206	1.05
207	1.05
208	1.05
209	1.05
210	1.06
211	1.06
212	1.06
213	1.06
214	1.06
215	1.06
216	1.06
217	1.04
218	1.00
219	0.96
220	0.92
221	0.88
222	0.84
223	0.80
224	0.78
225	0.77
226	0.77
227	0.77
228	0.78
229	0.78
230	0.78
231	0.78
232	0.79
233	0.79
234	0.79
235	0.78
236	0.78
237	0.78
238	0.77
239	0.77
240	0.77
241	0.77
242	0.76
243	0.76
244	0.77
245	0.76
246	0.76
247	0.77
248	0.76
249	0.76
250	0.75
251	0.75
252	0.75
253	0.76
254	0.76
255	0.76
256	0.77
257	0.78
258	0.78
259	0.79
260	0.79
261	0.79
262	0.80
263	0.80
264	0.80
265	0.80
266	0.80
267	0.80
268	0.81
269	0.82
270	0.84
271	0.86
272	0.89
273	0.81
274	0.81
275	0.81
276	0.81
277	0.81
278	0.84
279	0.88
280	0.92
281	0.95
282	0.99
283	1.01
284	1.04
285	1.07
286	1.11
287	1.15
288	1.18
289	1.21
290	1.25
291	1.30
292	1.33
293	1.36
294	1.38
295	1.41
296	1.43
297	1.47
298	1.50
299	1.54
300	1.57
301	1.61
302	1.65
303	1.66
304	1.69
305	1.72
306	1.76
307	1.80
308	1.84
309	1.85
310	1.88
311	1.90
312	1.93
313	2.04
314	2.12
315	2.08
316	1.97
317	1.89
318	1.84
319	1.81
320	1.74
321	1.67
322	1.65
323	1.67
324	1.70
325	1.73
326	1.75
327	1.78
328	1.81
329	1.85
330	1.88
331	1.90
332	1.94
333	1.98
334	2.01
335	2.03
336	2.05
337	2.08
338	2.11
339	2.13
340	2.15
341	2.18
342	2.22
343	2.24
344	2.25
345	2.26
346	2.29
347	2.38
348	2.47
349	2.55
350	2.57
351	2.60
352	2.62
353	2.63
354	2.66
355	2.69
356	2.73
357	2.77
358	2.79
359	2.82
360	2.86
361	2.89
362	2.92
363	2.95
364	3.00
365	3.05
366	3.09
